Area or Hotel,Loop,Loop Total Length,Loop Notes,Track Number,Track,Track Artist,Album,Loop Track Length,Track Notes,Album Track Number,Album Disc Number,Album Label,Dates,Holiday/Special Event
Downtown Disney,"DTD Daytime Holiday, Esplanade Holiday v.2",,,17,It's Beginning to Look a Lot Like Christmas,Johnny Mathis,Christmas Eve With Johnny Mathis,00:02:13.595,,,,,,Christmas
Downtown Disney,DTD Nighttime Holiday v.1,00:52:42.096,Compiled by pixelated (MouseBits; 2018). This loop played from 8PM to 2AM.,1,Let It Snow! Let It Snow! Let It Snow!,The Glenn Miller Orchestra,Holiday Masters: Swingin' Christmas,00:03:08.661,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.1,,,2,The Nutcracker Suite,Les Brown & His Band of Renown,The Best Christmas Album on Earth Vol. 2,00:06:50.553,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.1,,,3,Sleigh Ride,Lester Lanin,The Classic Christmas Album,00:02:52.123,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.1,,,4,Jingle Bells,Mora's Modern Rhythmists,Goblin Market,00:02:40.422,Verified (correct album listed),,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.1,,,5,Winter Wonderland,Ralph Flanagan Orchestra,A Very Merry Christmas,00:02:36.597,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.1,,,6,Blue Christmas [Big Band Christmas Version],"Chris McDonald, The Chris McDonald Orchestra",In The Mood For Christmas,00:04:16.588,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.1,,,7,March Of The Toys,Holiday Lounge Players,Retro Christmas Party (partial),00:03:16.596,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.1,,,8,Savoy Christmas Medley,Ray Noble,Vintage Christmas,00:03:23.784,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.1,,,9,Little Drummer Boy [Big Band Christmas Version],"Chris McDonald, The Chris McDonald Orchestra",In The Mood For Christmas,00:03:19.193,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.1,,,10,Frosty the Snowman,The Glenn Miller Orchestra,A Very Special Christmas,00:03:59.290,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.1,,,11,White Christmas,The Les Rogers Orchestra,Big Band Christmas,00:02:53.546,Verified (correct album listed),,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.1,,,12,I'll Be Home for Christmas,The Les Rogers Orchestra,Big Band Christmas,00:02:53.837,Verified (correct album listed),,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.1,,,13,"Rudolph, the Red-Nosed Reindeer",Lester Lanin,The Classic Christmas Album,00:02:30.973,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.1,,,14,The Skaters' Waltz (In Swingtime),Bob Crosby,Christmas [Boardwalk Empire Era],00:02:54.839,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.1,,,15,Santa Claus Is Coming to Town,Lester Lanin,The Classic Christmas Album,00:02:07.313,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.1,,,16,Winter Wonderland,The Les Rogers Orchestra,Big Band Christmas,00:02:56.171,Verified (correct album listed),,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,1:30:31.207,"Compiled by pixelated (MouseBits), originally as the Hollywood Land Holiday BGM. This was also used as the DTD Nighttime Holiday loop starting in 2019. This loop plays from 8PM to 2AM.",1, Jingle Bells,Frank Sinatra,A Jolly Christmas from Frank Sinatra , 1:54.765,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,2, Frosty the Snowman,Glenn Miller and His Orchestra,In The Swinging Christmas Mood , 3:58.994,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,3, Have Yourself a Merry Little Christmas,Ella Fitzgerald,Ella Wishes You a Swinging Christmas , 2:54.471,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,4, White Christmas (instrumental),The Les Rogers Orchestra,Big Band Christmas , 2:53.706,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,5, In the Christmas Mood,The Glenn Miller Orchestra,"In The Christmas Mood, Vol. 1 ", 3:30.763,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,6, Winter Wonderland,The Andrews Sisters,A Merry Christmas with Bing Crosby and the Andrews Sisters , 2:40.075,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,7, Frosty the Snowman,Ella Fitzgerald,Ella Wishes You a Swinging Christmas , 2:10.453,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,8, Let It Snow! Let It Snow! Let It Snow! (In The Christmas Mood),Glenn Miller and His Orchestra,Home for Christmas , 3:08.513,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,9," Jing-A-Ling, Jing-A-Ling",The Andrews Sisters,A Merry Christmas with Bing Crosby and the Andrews Sisters , 2:50.867,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,10, Sleigh Ride,The Andrews Sisters,Winter Wonderland Vol. 2 , 3:03.068,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,11, Good King Wenceslas,The Glenn Miller Orchestra,"In The Christmas Mood, Vol. 2 ", 2:27.607,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,12, Merry Christmas Polka,The Andrews Sisters,A Merry Christmas with Bing Crosby & The Andrews Sisters , 2:47.384,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,13, Sleigh Ride,Ella Fitzgerald,Ella Wishes You a Swinging Christmas ,2:55.655,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,14, (Everybody's Waiting For) The Man With the Bag,Kay Starr,It's Christmas ,2:39.299,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,15, Let It Snow! Let It Snow! Let It Snow!,Les Brown and His Band of Renown,That's Christmas Jazz , 2:35.903,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,16, Santa Claus Is Coming to Town,Glenn Miller and His Orchestra,In The Swinging Christmas Mood , 3:27.762,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,17, Jingle Bells (instrumental),The Les Rogers Orchestra,Big Band Christmas , 2:36.717,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,18, White Christmas,Bing Crosby, 3:02.917,,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,19, Winter Wonderland (instrumental),The Les Rogers Orchestra,Big Band Christmas , 2:58.005,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,20, Rudolph the Red-Nosed Reindeer,Ella Fitzgerald,Ella Wishes You a Swinging Christmas , 2:50.775,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,21, Frosty the Snowman,Guy Lombardo & His Royal Canadians,"Big Band Christmas (Universal Special Products, 1993) OR Swing Into Christmas (MCA, 1998) ", 2:31.705,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,22, Sleigh Ride (instrumental),The Les Rogers Orchestra,Big Band Christmas , 2:47.301,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,23, Happy Holiday/The Holiday Season,Andy Williams,Personal Christmas Collection , 2:36.857,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,24, Jingle Bells,Glen Miller and His Orchestra,In The Swinging Christmas Mood , 4:36.675,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,25, Let It Snow! Let It Snow! Let It Snow!,Ella Fitzgerald,Ella Wishes You a Swinging Christmas , 2:41.751,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,26, Here Comes Santa Claus,Bing Crosby/The Andrews Sisters,That Christmas Feeling , 3:01.092,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,27, Santa Claus Got Stuck in My Chimney,Ella Fitzgerald,That's Christmas Jazz , 3:04.494,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,28, Cool Yule,Louis Armstrong, ,,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,29, I'll Be Home for Christmas (instrumental),The Les Rogers Orchestra,Big Band Christmas , 2:53.922,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,30, Sleigh Ride (In The Christmas Mood),Glen Miller and His Orchestra,Home for Christmas , 3:40.731,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Nighttime Holiday v.2,,,31, Winter Wonderland,Ella Fitzgerald,Ella Wishes You a Swinging Christmas , 2:16.618,,,,,"November 1, 2019",Christmas
Downtown Disney,DTD Daytime,1:35:58,Compiled by C33 (MouseBits; 2017),1,Disney's Main Street Electrical Parade,,Disney's Jazz Album: Big Band Now,,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,2,You've Got A Friend in Me (Instrumental),,Toy Story 2 OST,,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,3,Do You Wanna Build A Snowman?,,? (Big band),,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,4,Life Goes to a Party,,Benny Goodman,,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,5,Friend Like Me,,"(Big band, sounds like Mickey Avenue)",,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,6,King of New York,,"? (Big band, piano, xylophone, trumpet, mid tempo)",,May be https://www.amazon.com/Circle-Sessions-Music-Carthay-Vol/dp/B08FCZBV8B,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,7,Hot Toddy,,Mora's Modern Rhythmists,,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,8,Heigh Ho,,SHDL Mickey Avenue BGM,,Confirmed by pixelated https://youtu.be/V4I0mNyEKiY?t=2m40s,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,9,Swing Sax (Shout and Feel It),,Benny Goodman,,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,10,Who's Afraid of the Big Bad Wolf?,,"? (Big band, piano/woodwinds/trumpet, medium tempo)",,May be https://www.amazon.com/Circle-Sessions-Music-Carthay-Vol/dp/B08FCZBV8B,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,11,Monsters Inc,,Monsters Inc OST,,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,12,I See The Light,,"? (Big band, medium tempo, sounds like Mickey Avenue, piano solo)",,May be https://www.amazon.com/Circle-Sessions-Music-Carthay-Vol/dp/B08FCZBV8B,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,13,Down For Double,,Count Basie,,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,14,If I Didn't Have You,,"? (Big band, medium tempo, sounds like Mickey Avenue)",,May be https://www.amazon.com/dp/B00AIGN8AU/ref=dm_rwp_pur_lnd_albm_pm,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,15,Zip-A-Dee-Doo-Dah,,Disney Adventures in Jazz,,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,16,Give A Little Whistle,,Dave Digs Disney,,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,17,Wrappin It Up (The Lindy Slide),,BBC Big Band,,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,18,Let's Go Fly A Kite,SHDL Mickey Avenue BGM,The Music of Shanghai Disneyland,,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,19,Opus #1,,Buddy Bregman Big Band,,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,20,True Love’s Kiss,,"? (Big band, Mickey avenue)",,May be https://www.amazon.com/Circle-Sessions-Music-Carthay-Vol/dp/B08FCZBV8B,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,21,One Song,,Dave Digs Disney,,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,22,Bare Necessities,,"? (Big band, Mickey avenue)",,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,23,Sing Sing Sing,,Benny Goodman,,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,24,Be Our Guest,SHDL Mickey Avenue BGM,The Music of Shanghai Disneyland,,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,25,Whistling Medley,,Disney Adventures in Jazz,,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,26,Camp Hollywood Special,,Bill Elliott Swing Orchestra,,,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,27,Bibbidi-Bobbidi-Boo,,SHDL Mickey Avenue BGM,,Confirmed by pixelated https://youtu.be/X_3_J1HRtmY?t=1m26s,,,,"May 1, 2017",
Downtown Disney,DTD Daytime,,,28,One O’Clock Jump,,Buddy Bregman Big Band,,,,,,"May 1, 2017",
Downtown Disney,DTD Nighttime v.1,,“This was an augmented version of Florida’s Marketplace Loop (2 hours of original electropop arrangements of Disney songs)” - See the World of Disney loop.,,,,,,,,,,,
Downtown Disney,DTD Nighttime v.2,02:02:34.355,Compiled by Pixelated (MouseBits; 2018),1,Cool Thieves,Gramatik,SB3 , 00:03:13.383,Begins with 1.2 sec. silent gap,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,2,"The Traveller, Pt",The Haggis Horns,Later , 00:08:13.023,00:00:02.414 overlap with next track,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,3,Muy Tranquilo,Gramatik,SB3 , 00:03:49.106,No gap between this and next track,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,4,Skillet,Boston Horns,Funkafized Plus , 00:05:45.044,,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,5,Señor Siete,Hip Spanic Allstars,Jazzy Afro Latin Funk , 00:04:08.227,00:00:04.379 overlap with next track,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,6,Pipe Bag,The Haggis Horns,, 00:03:56.591,00:00:01.021 overlap with next track,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,7,The Bump,The Haggis Horns,The Craig Charles Funk And Soul Club , 00:03:48.081,,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,8,The Nuyorican Express,"Nickodemus, Candela Allstars",Moon People , 00:04:27.503,,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,9,Klezmer Cumbia Carpet Ride,Hip Spanic Allstars,Jazzy Afro Latin Funk , 00:04:05.887,,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,10,Un Grao de Areia,Club des Belugas,Zoo Zizaro , 00:04:40.188,,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,11,Zebra Talk (feat,The Renegades of Jazz,Moyo Wangu , 00:03:48.625,No gap between this and next track,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,12,Habana Twist,Club des Belugas,Zoo Zizaro , 00:03:49.059,,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,13,Hurricane Season,"Troy ""Trombone Shorty"" Andrews",Backatown , 00:03:13.501,,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,14,The Force,Lettuce,Crush , 00:03:38.500,00:00:00.542 overlap with next track,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,15,Lettsanity,Lettuce,Fly , 00:04:56.404,,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,16,Samba del Gringo,Gordon Goodwin's Big Phat Band,Swingin' For The Fences , 00:06:45.527,No gap between this and next track,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,17,Madison Square,Lettuce,Fly , 00:04:12.773,00:00:00.510 overlap with next track,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,18,I Wish,The Loudhorns,One for Maynard , 00:04:55.177,,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,19,Latin Note,St. Germain,Tourist , 00:05:29.002,00:00:01.613 overlap with next track,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,20,Pa' Bailar,"Bajofondo, Ryota Komatsu",Mar Dulce , 00:03:49.390,No gap between this and next track,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,21,Horn of Puente,"Gordon Goodwin's Big Phat Band, Wayne Bergeron",XXL , 00:06:14.186,,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,22,Mueva los Huesos (Shake Your Bones),Gordon Goodwin's Big Phat Band,Swingin' For The Fences , 00:04:48.097,,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,23,The Lobbyist,Lettuce,Crush , 00:04:28.597,00:00:00.448 overlap with next track,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,24,Birdland,The Loudhorns,One for Maynard , 00:03:52.631,,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,25,Cumbianauts Incoming,Cumbia Cosmonauts,Globaltronica: World Electronic Sounds Vol. 3 , 00:02:57.667,00:00:00.556 overlap with next track,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,26,El Macho Muchacho,Gordon Goodwin's Big Phat Band,Act Your Age , 00:06:06.755,,,,,"May 1, 2018",
Downtown Disney,DTD Nighttime v.2,,,27,Give It One,The Loudhorns,One for Maynard , 00:03:21.418,,,,,"May 1, 2018",
Downtown Disney,World of Disney,1:44:00.8,"This is the same loop as the Disney Springs Marketplace. Posted by Club 33 (Magic Music; 2015). There are crossfades or overlaps between tracks, and the loop doesn't contain a single silent gap longer than a fraction of a second. This is a totally original loop of Disney songs arranged in a jazz-techno-fusion style. The loop was composed by https://michaeltavera.com/project/disney-springs-resort-2/.",1,"A Whole
  New World",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,2,"You
  Can Fly!",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,3,"Almost
  There",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,4,"True
  Love's Kiss",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,5,"Be
  Our Guest",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,6,"Theme
  from ""Colette Shows Him Le Ropes""/""Special
  Order""/""End Creditouilles""",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,7,"Hakuna
  Matata",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,8,"For
  The First Time in Forever / Let It Go Medley",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,9,"If
  I Didn't Have You (Monsters Inc. Theme)",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,10,"I
  See The Light",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,11,"Ev'rybody
  Wants To Be A Cat",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,12,"King
  of New York",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,13,Reflection,Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,14,"Can
  You Feel the Love Tonight",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,15,"The
  Incredibles Theme",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,16,"Colors
  of the Wind",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,17,"Go
  The Distance",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,18,"Friend
  Like Me",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,19,"When
  Will My Life Begin?",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,20,"I
  Wanna Be Like You",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,21,"You've
  Got A Friend In Me",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,22,"When
  Can I See You Again?",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,23,"Part
  Of Your World",Michael Tavera,,,,,,,"October 22, 2018",
Downtown Disney,World of Disney,,,24,"Winnie
  the Pooh",Michael Tavera,,,,,,,"October 22, 2018",
Esplanade/Main Gates,Main Gates v.1 [REF],,"Based on samples from a 1971 (?) reference recording provided by C33 (MouseBits; Re: Main Gates Loop, Pre 92). See https://mousebits.com/smf/index.php?topic=6892.msg98894#msg98894
On dates - They may not have even had the main gate loop ready in Oct '71, but, Wagner likely had the WDW band album recorded and sampled for the loop by fall '71 but didn't release the album until the start of '72. Also See Magic Music: https://community.magicmusic.net/threads/disneyland-music-loops.17/ (2002).",1,Mickey Mouse Club March,Russ Garcia & His Orchestra,Hi-Fi Music For Children: From 2 to 92,,,,,Liberty,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,2,Whistle While You Work / Heigh Ho,Russ Garcia & His Orchestra,Hi-Fi Music For Children: From 2 to 92,,,,,Liberty,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,3,Parade of the Wooden Soldiers,Russ Garcia & His Orchestra,Hi-Fi Music For Children: From 2 to 92,,,,,Liberty,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,4,Supercalifragilisticexpialidocious,"UCLA Band, Kelly James",March Along with Mary Poppins,,,,,Buena Vista Records,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,5,Winnie the Pooh/The Wonderful Thing About Tiggers,Walt Disney World Band,Walt Disney World Band,,"Edited from album track, “Songs from Winnie the Pooh”",,,Buena Vista Records,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,6,Disney Medley #1,The Disneyland Band,The Disneyland Band,,,,,Buena Vista Records,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,7,March of the Cards,The Disneyland Band,The Disneyland Band,,,,,Buena Vista Records,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,8,it's a small world,The Disneyland Band,The Disneyland Band,,,,,Buena Vista Records,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,9,When You Wish Upon a Star,Frank Chacksfield And His Orchestra,Thanks for the Memories,,,,,Eclipse (2),"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,10,it's a small world (Choral Version),Disneyland Boys Choir,It's A Small World: 18 Favorite Folk Songs,,Also found as track 1 on It's A Small World (Especially At Christmas) by the Disneyland Boys Choir (1965),,,Disneyland Records,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,11,Zip-a-Dee-Doo-Dah,Frank Chacksfield And His Orchestra,Thanks for the Memories,,,,,Eclipse (2),"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,12,Chim Chim Cher-ee,Frank Chacksfield And His Orchestra,Thanks for the Memories,,,,,Eclipse (2),"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,13,Supercalifragilisticexpialidocious,Walt Disney World Band,Walt Disney World Band,,"Edited from album track, “Mary Poppins Medley”, Edited 00:23.518 to end of album track",,,Buena Vista Records,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,14,Me Ol'Bam-Boo,Irwin Kostel,Fantasmagorical Themes from Chitty Chitty Bang Bang,,,,,United Artists Records,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,15,Mickey Mouse Club March,Russ Garcia & His Orchestra,Hi-Fi Music For Children: From 2 to 92,,Repeat of track 1,,,Liberty,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,16,Pop! Goes the Weasel,Russ Garcia & His Orchestra,Hi-Fi Music For Children: From 2 to 92,,,,,Liberty,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,17,Step in Time,"UCLA Band, Kelly James",March Along with Mary Poppins,,,,,Disneyland Records,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,18,Supercalifragilisticexpialidocious,"UCLA Band, Kelly James",March Along with Mary Poppins,,Repeat of track 4,,,Disneyland Records,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,19,The Work Song,"UCLA Band, Kelly James",March Along with Mary Poppins,,,,,Disneyland Records,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,20,Who's Afraid of the Big Bad Wolf?,Walt Disney World Band,Walt Disney World Band,,"This track number was missing from C33’s samples, but this is the track in the full WDW reference recording and posted in many DL track listings.",,,Buena Vista Records,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,21,Winnie the Pooh,Walt Disney World Band,Walt Disney World Band,,"Edited from album track, “Songs from Winnie the Pooh”; Does not include “The Wonderful Thing About Tiggers”",,,Buena Vista Records,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,22,Colonel Hathi's March,The Disneyland Band,The Disneyland Band,,,,,Buena Vista Records,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,23,The Bare Necessities,The Disneyland Band,The Disneyland Band,,,,,Buena Vista Records,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,24,Disney Medley #1,The Disneyland Band,The Disneyland Band,,Repeat of track 6,,,Buena Vista Records,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,25,Disney Medley #2,The Disneyland Band,The Disneyland Band,,,,,Buena Vista Records,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,26,A Marching Band (We're the Mouseketeers),Walt Disney World Band,Walt Disney World Band,,,,,Buena Vista Records,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,27,A Wonderful Day Like Today,The Disneyland Band,The Disneyland Band,,,,,Buena Vista Records,"January 1, 1971 → January 1, 1992",
Esplanade/Main Gates,Main Gates v.1 [REF],,,28,A Dream is a Wish Your Heart Makes,"UCLA Band, Kelly James",March Along with Mary Poppins,,,,,Disneyland Records,"January 1, 1971 → January 1, 1992",
